,llama_prompt,llama_response,llama_mem,llama_read,mistral_prompt,mistral_response,mistral_mem,mistral_read,original,mem_count_cer0,memorability,readability,words,mistral_coherence_l,llama_coherence_m,mistral_coherence_m,llama_coherence_l,mistral_coherence_g,llama_coherence_g,llama_co_score,mistral_co_score
640,Did you hear about the new speech therapist in town?,We've already eliminated his speech therapy.,4,2,Have you finished his language rehabilitation sessions?,We've already eliminated his speech therapy.,8,2,We've already eliminated his speech therapy.,5,mid,10.0,6,low,low,low,high,low,low,1.4,1.0
641,I received a demand letter from the bank. What does it mean?,FYI on the demand letter I signed earlier.,7,2,Have you received any legal correspondence recently?,FYI on the demand letter I signed earlier.,5,2,FYI on the demand letter I signed earlier.,4,mid,5.0,8,medium,high,medium,high,low,low,2.2,2.4
642,When do you have time to meet next week?,Ava please put on my calendar.,6,2,I need to schedule a doctor's appointment next Tuesday.,Ava please put on my calendar: doctor's appointment for next Tuesday.,8,1,Ava please put on my calendar.,4,mid,3.0,6,low,high,medium,high,low,low,2.2,2.0
643,"I just got my new smartphone, what do you think?","I also just received my Blackberry, cool.",6,2,Have you received your new work phone yet?,"I also just received my Blackberry, cool.",8,2,"I also just received my Blackberry, cool.",3,low,6.0,7,low,medium,medium,high,low,medium,2.2,1.6
644,Please confirm the meeting details for Friday?,Confirmed with Mark Taylor.,7,1,Have you received the package from Mark Taylor?,Confirmed with Mark Taylor.,9,2,Confirmed with Mark Taylor.,6,mid,4.0,4,low,high,medium,high,low,low,2.2,2.0
645,I need you to sign the new contract before 5pm today,Do you still need me to sign something?,6,2,I need you to bring your ID for verification at the bank.,Do you still need me to sign something?,7,2,Do you still need me to sign something?,9,high,3.0,8,low,medium,low,high,low,medium,2.2,1.4
646,How's Lisa doing after the surgery?,I will be checking up with Lisa.,9,1,Have you spoken to Mark about the project's deadline?,I will be checking up with Lisa,7,2,I will be checking up with Lisa.,7,high,0.0,7,low,low,low,high,low,medium,1.8,1.0
647,can you make it to my birthday party tomorrow?,I will likely not be available.,6,2,Do you have time for a quick call tonight?,I will likely not be available.,7,2,I will likely not be available.,7,high,2.0,6,medium,low,low,high,medium,medium,1.8,1.4
648,What's the best way to get there?,I'm on 6.,8,2,"Meet me at the usual spot, what number should I dial?",I'm on 6.,10,2,I'm on 6.,7,high,1.0,3,low,low,medium,high,low,low,1.4,1.2
649,Are you going to approve the loan application?,Still waiting on decision.,6,2,Have you made a decision about the job offer yet?,Still waiting on decision.,10,2,Still waiting on decision.,5,mid,12.0,4,medium,low,low,low,low,medium,1.4,1.4
650,Where are we meeting for the project discussion today?,I'll meet you at Bill Sperry's office at 12:30.,8,1,Let's discuss the Bill Sperry project proposals at his office today.,I'll meet you at Bill Sperry's office at 12:30.,8,2,I'll meet you at Bill Sperry's office at 12:30.,3,low,4.0,9,low,high,high,high,high,high,3.0,2.2
651,Will you be my forever?,I love you.,8,2,I've prepared a surprise for you,I love you.,7,2,I love you.,4,mid,1.0,3,medium,high,low,low,low,medium,2.2,2.2
652,are you ready to meet at the movie theater?,Got here early.,6,2,I hope you'll be on time for our meeting at the park,Got here early.,9,1,Got here early.,7,high,1.0,3,medium,high,medium,low,high,low,1.8,2.4
653,Are you ready to watch the fireworks tonight?,Knock yourself out.,8,1,I'd like to order the premium package for our new project.,Knock yourself out.,8,2,Knock yourself out.,4,mid,1.0,3,low,high,high,high,low,low,2.2,2.2
654,What do I need to know about quantum entanglement?,How can we get these answers?,5,3,The stock market has been volatile lately. Which indices have shown the greatest gains?,How can we get these answers?,7,2,How can we get these answers?,7,high,1.0,6,low,medium,medium,low,low,low,1.4,1.6
655,are you going through a tough time lately?,You hang in there too.,8,2,I've been struggling with this project for weeks now.,You hang in there too.,8,2,You hang in there too.,6,mid,2.0,5,low,low,low,high,low,low,1.4,1.0
656,did you receive my package yet?,Got your message.,8,1,Have you received the package I sent?,Got your message.,8,2,Got your message.,7,high,1.0,3,medium,high,low,high,low,low,2.2,2.2
657,Are you coming to the conference on Friday?,What's your proposal?,8,2,I suggest we meet at the park next Saturday.,What's your proposal?,10,2,What's your proposal?,9,high,10.0,3,medium,medium,medium,high,medium,low,1.8,2.0
658,Are you free to meet today?,Can we meet at 3:30?,6,1,I'd like to discuss the project timeline.,Can we meet at 3:30?,8,2,Can we meet at 3:30?,8,high,2.0,5,low,high,medium,high,low,medium,2.6,2.0
659,are you still in the meeting?,Both of us are still here.,8,2,Have you received my email about the meeting tomorrow?,Both of us are still here.,10,2,Both of us are still here.,8,high,0.0,6,low,high,low,high,low,medium,2.6,1.8
660,Can you help me with the European Union's Emissions Trading System?,Developing valuation methodology for ETS interest Sun Devil.,6,3,Have you heard about the new Exchange-Traded Products (ETS) from Sun Devil Corporation?,Developing valuation methodology for ETS interest Sun Devil.,5,2,Developing valuation methodology for ETS interest Sun Devil.,4,mid,14.0,8,low,high,medium,high,low,low,2.2,2.0
661,did you receive the message i just sent?,Did you send out a global message from me?,9,3,I just noticed an unusual email activity from your account.,Did you send out a global message from me?,8,2,Did you send out a global message from me?,7,high,4.0,9,low,high,medium,high,medium,low,2.2,2.0
662,are you even watching the game?,Not even in yet.,8,1,Have you started the new project at work?,Not even in yet.,6,2,Not even in yet.,8,high,0.0,4,low,medium,medium,low,low,low,1.4,1.6
663,"Merry Christmas was amazing, wasn't it?","Barry, hope that you had a great Christmas.",8,3,I received an amazing gift this Christmas,"Barry, hope that you had a great Christmas.",10,2,"Barry, hope that you had a great Christmas.",6,mid,3.0,8,low,low,low,low,low,low,1.0,1.0
664,Can I see you at 5 pm today?,See you then,8,1,"I'll bring the chips for our movie night, right?",See you then.,10,1,See you then,7,high,1.0,3,low,high,medium,low,low,medium,2.2,2.0
665,can you explain the concept of entropy?,The rest is a byproduct of slapshot.,6,3,Have you analyzed the hockey team's power play strategies yet?,The rest is a byproduct of slapshot.,3,1,The rest is a byproduct of slapshot.,7,high,3.0,7,low,high,low,high,low,low,2.2,1.8
666,I've always wanted to attend an opera performance.,"Still, I'm always up for opera.",6,3,Do you fancy attending an impromptu symphony performance in the park?,"Still, I'm always up for opera.",7,2,"Still, I'm always up for opera.",4,mid,2.0,6,low,high,low,high,low,low,2.2,1.8
667,Can you confirm our meeting on Friday?,"Ava, please put on my calendar.",6,1,I need to schedule a doctor's appointment for next week,"Ava, please put on my calendar.",10,2,"Ava, please put on my calendar.",4,mid,2.0,6,low,high,medium,low,low,low,1.8,2.0
668,We're still struggling to find the solution,We will keep trying.,8,2,I can't seem to log in to the banking app.,We will keep trying.,8,2,We will keep trying.,6,mid,1.0,4,low,low,low,low,low,medium,1.4,1.0
669,Are you finding it inconvenient to work on the go?,Much better than carrying a laptop.,7,2,Have you tried using a tablet for work instead of a laptop?,Much better than carrying a laptop.,10,2,Much better than carrying a laptop.,5,mid,7.0,6,medium,high,medium,low,low,low,1.8,2.4
670,How's the job market in Zurich?,Any interest in chatting about a job at UBS?,8,2,I heard UBS is hiring for new positions,Any interest in chatting about a job at UBS?,8,2,Any interest in chatting about a job at UBS?,3,low,4.0,9,medium,high,medium,high,high,low,2.2,2.4
671,can you confirm receipt of the confidential information?,Email the consent to me.,8,3,Have you received the latest report on project X?,Email the consent to me.,5,2,Email the consent to me.,5,mid,0.0,5,low,high,medium,low,low,low,1.8,2.0
672,Can I still claim expenses for my medical treatment?,I spoke with GP benefits counsel this morning.,4,2,Have you spoken with the insurance company about our policy coverage for GP visits?,I spoke with GP benefits counsel this morning.,8,2,I spoke with GP benefits counsel this morning.,4,mid,6.0,8,medium,high,low,high,low,low,2.2,2.2
673,are we still on for the weekend?,1 - 5 questions on that.,6,1,How many mathematical problems do you have for me to solve?,1 - number of mathematical problems on this.,9,2,1 - number of questions on this.,2,low,2.0,7,low,low,low,high,low,low,1.4,1.0
674,can you send me the updated project report by tomorrow?,How soon do you need it?,8,1,I need the report completed for the board meeting tomorrow.,How soon do you need it?,10,2,How soon do you need it?,8,high,0.0,6,low,medium,medium,high,high,high,2.6,1.6
675,I'm stuck in traffic and I'm going to be late for work,How are things with you?,8,2,I've just received great news from my doctor,How are things with you?,10,2,How are things with you?,7,high,0.0,5,low,medium,medium,high,low,low,1.8,1.6
676,Michael was having a terrible morning so far.,Michael said his day was rotten.,7,2,Did Michael make it to his important meeting?,Michael said his day was rotten.,5,2,Michael said his day was rotten.,4,mid,3.0,6,low,low,low,high,medium,high,2.2,1.0
677,How's your day going so far?,Nothing but good news everyday.,8,2,Have you received your promotion at work?,Nothing but good news everyday.,8,2,Nothing but good news everyday.,4,mid,0.0,5,low,low,low,high,low,medium,1.8,1.0
678,are you free to meet up at 7pm today?,Sent to 8,6,2,Have you received the package from the courier?,Sent to 8,10,2,Sent to 8,3,low,1.0,3,low,low,low,low,low,low,1.0,1.0
679,is the message I sent earlier received?,Message is getting through.,8,2,Can you understand the instructions for assembling this bookshelf?,Message is getting through.,8,3,Message is getting through.,7,high,0.0,4,low,medium,low,high,low,medium,2.2,1.4
680,Did John's mother call today?,"John, can you give Konni a call?",6,1,I heard Konni mentioned in the news today,"John, can you give Konni a call?",5,2,"John, can you give Konni a call?",7,high,0.0,7,medium,medium,low,low,low,low,1.4,1.8
681,did you record the meeting?,I left a message.,6,1,Have you finished preparing the report for tomorrow's meeting?,I left a message.,8,2,I left a message.,7,high,1.0,4,low,low,low,low,low,low,1.0,1.0
682,Are you aware of the current energy market trends?,I want per MMBTU.,7,2,Have you received the order for 1000 cubic meters of natural gas?,I want per MMBTU.,5,3,I want per MMBTU.,7,high,1.0,4,low,medium,low,high,low,low,1.8,1.4
683,can I crash at your place tonight?,I guess this is OK if you are.,5,2,Do you think we should go with the red or blue design for the website?,I guess this is OK if you are.,8,2,I guess this is OK if you are.,7,high,0.0,8,low,low,low,low,low,low,1.0,1.0
684,is the new moon visible in the city tonight?,I am not aware of any.,5,1,Have you received the latest company financial report?,I am not aware of any.,3,2,I am not aware of any.,7,high,2.0,6,medium,low,low,low,medium,low,1.0,1.4
685,how much has your coffee habit cost you so far?,$2.75B and counting.,6,2,Have you sold more tech products than Apple in the last quarter?,$2.75B and counting.,8,3,$2.75B and counting.,6,mid,1.0,3,low,low,low,high,low,low,1.4,1.0
686,did the conference registration system fail again today?,Perhaps there was a glitch.,8,2,The stock market numbers seem odd today.,Perhaps there was a glitch.,7,2,Perhaps there was a glitch.,7,high,2.0,5,medium,low,low,high,medium,high,2.2,1.4
687,Can you clarify the ambiguity in the latest email?,Also hope you can make sense of this email.,5,3,I've received some confusing instructions for our project meeting,Also hope you can make sense of this email.,5,3,Also hope you can make sense of this email.,5,mid,4.0,9,medium,medium,low,low,low,medium,1.8,1.8
688,I just got the new job and I'm excited to start working with you,What number should he call you on?,4,3,"I've found an old phone number in my contacts, let's make sure it's still yours.",What number should I call you on?,8,1,What number should he call you on?,9,high,3.0,7,low,high,medium,low,low,low,1.8,2.0
689,how's the party going so far?,We are proceeding with a great reception so far.,7,1,I'm glad to see the event organization going smoothly,We are proceeding with a great reception so far.,9,2,We are proceeding with a great reception so far.,4,mid,4.0,9,medium,high,medium,high,high,low,2.2,2.4
690,can you send me the meeting minutes?,You can reply via email.,6,2,"I've found an important email, can you help me figure out what to do next?",You can reply via email.,10,2,You can reply via email.,6,mid,0.0,5,low,low,low,low,low,low,1.0,1.0
691,can you book the meeting room for tomorrow?,I'll find someone to do it.,6,1,Can you help me fix the plumbing issue in my kitchen?,I'll find someone to do it.,8,1,I'll find someone to do it.,5,mid,1.0,6,low,high,low,low,low,low,1.8,1.8
692,I've been feeling really down lately and I don't know why,"Geez, I sound pathetic.",8,1,"You seem really down today, what's bothering you?","Geez, I sound pathetic.",8,2,"Geez, I sound pathetic.",7,high,12.0,4,low,low,low,high,low,low,1.4,1.0
693,What are we discussing about today?,Pat and I talked about TW concerns.,6,1,Have you heard about the new cybersecurity threats targeting our industry?,Pat and I talked about TW concerns.,6,3,Pat and I talked about TW concerns.,5,mid,3.0,7,low,low,low,medium,low,medium,1.6,1.0
694,are we prepared to list the US subsidiary?,We haven't sold the US business as yet.,8,2,Have you made any decisions about the US division's future?,We haven't sold the US business as yet.,8,2,We haven't sold the US business as yet.,2,low,1.0,8,low,low,low,medium,medium,medium,1.6,1.0
695,are you experiencing any issues with the new software?,I would like to discuss.,8,2,Have you read the latest novel by J.K. Rowling?,I would like to discuss.,10,2,I would like to discuss.,6,mid,0.0,5,medium,medium,medium,high,low,medium,2.2,2.0
696,did you just get tickets to our favorite band's concert?,I'm so excited.,8,2,I heard there's going to be a fireworks show tonight!,I'm so excited.,8,1,I'm so excited.,6,mid,1.0,3,medium,low,low,low,high,medium,1.4,1.4
697,can I pay the bill with my credit card?,I would like it paid through I Buy It.,5,3,Can I make the payment for your new phone through my account with I Buy It?,I would like it paid through I Buy It.,10,1,I would like it paid through I Buy It.,4,mid,0.0,9,low,low,low,high,high,low,1.4,1.0
698,Do you think these new recipes will be suitable for our dinner party?,I think these will be just fine.,6,2,Have you tried the new bakery down the street?,I think these will be just fine.,8,2,I think these will be just fine.,6,mid,0.0,7,low,low,low,high,low,medium,1.8,1.0
699,have you seen the forecast for tonight?,"Ava, do we need to worry about this?",5,2,The stock market has experienced a significant drop today.,"Ava, do we need to worry about this?",8,2,"Ava, do we need to worry about this?",9,high,0.0,8,medium,low,low,low,high,low,1.0,1.4
700,Have you seen the new season of your favorite TV show?,What happened to Savita?,8,2,I just saw the breaking news on TV.,What happened to Savita?,5,2,What happened to Savita?,5,mid,6.0,4,medium,medium,low,high,low,low,1.8,1.8
701,I just took my medication and I'm starting to feel a little better,Are you feeling better?,8,2,I had a terrible headache this morning,Are you feeling better?,9,2,Are you feeling better?,8,high,4.0,4,low,medium,low,high,low,medium,2.2,1.4
702,I just returned from an amazing beach holiday!,You have a nice holiday too.,6,2,I'm enjoying the sunny weather on my vacation in Bali,You have a nice holiday too.,10,2,You have a nice holiday too.,8,high,0.0,6,low,high,low,high,low,low,2.2,1.8
703,"I'm running a bit early, see you at 4?",Thanks see you at 4.,8,1,I'll bring the reports to our meeting at 4.,"Thanks, see you at 4.",10,1,Thanks see you at 4.,6,mid,2.0,5,low,high,medium,low,high,low,1.8,2.0
704,why are my credit card payments overdue?,We need to talk about this month.,8,2,You haven't paid rent this month.,We need to talk about this month.,8,2,We need to talk about this month.,9,high,0.0,7,medium,medium,low,high,low,medium,2.2,1.8
705,how's your flight to London going?,How is it going?,6,2,I've completed the project you assigned me last week,How is it going?,8,2,How is it going?,7,high,1.0,4,low,identical,high,high,low,low,1.4,1.4
706,I just caught my roommate eating the leftover pizza,You probably do that too when no one's around!,7,2,I sometimes dance in my living room when I'm alone.,You probably do that too when no one's around!,5,2,You probably do that too when no one's around!,4,mid,5.0,9,medium,low,low,low,low,low,1.0,1.4
707,are you going to be on time for the meeting?,I will be there in 5 minutes.,6,1,I need you to bring the blue folder to the meeting room.,I will be there in 5 minutes.,8,2,I will be there in 5 minutes.,5,mid,3.0,7,low,high,medium,high,low,medium,2.6,2.0
708,Did you know that the new employee is not getting along with the team?,What about Jay?,8,2,Susan mentioned she saw Jay at the park yesterday.,What about Jay?,8,2,What about Jay?,9,high,1.0,3,low,low,medium,high,low,low,1.4,1.2
709,"I'm struggling to fix my computer, have you tried troubleshooting the BIOS?",I tried that to no avail.,6,1,Have you tried restarting your computer?,I tried that to no avail.,8,2,I tried that to no avail.,7,high,-2.0,6,low,low,low,medium,medium,medium,1.6,1.0
710,I'm frustrated with the new employee's lack of communication skills,That's not the behavior that I was looking for.,6,2,I promised to help you move next Saturday,That's not the behavior that I was looking for.,8,2,That's not the behavior that I was looking for.,1,low,5.0,9,low,high,low,low,low,medium,2.2,1.8
711,what did bobby say to us last weekend?,I was trying to remember what Bobby said.,7,2,Did Bobby mention the details of his grandma's old house?,I was trying to remember what Bobby said.,5,2,I was trying to remember what Bobby said.,7,high,4.0,8,low,low,low,low,low,medium,1.4,1.0
712,What are your plans for the weekend?,I'm quite interested as I told Lyn.,4,2,Have you heard about the latest research in quantum physics?,I'm quite interested as I told Lyn.,5,3,I'm quite interested as I told Lyn.,3,low,4.0,7,low,low,medium,high,low,low,1.4,1.2
713,Are you thinking of going back to that music festival next year?,Maybe stuff we do more of next year.,8,2,"We've had a great year for hiking, wouldn't it be nice to explore new trails more often next year?",Maybe stuff we do more of next year.,9,1,Maybe stuff we do more of next year.,5,mid,0.0,8,medium,medium,medium,low,low,low,1.4,2.0
714,"I'm considering buying a new smartphone, do you have any experience with Blackberry phones?",How do you like the Blackberry?,6,3,Have you tried the new Blackberry pie at the local bakery?,How do you like the Blackberry?,7,2,How do you like the Blackberry?,3,low,3.0,6,low,high,medium,high,low,medium,2.6,2.0
715,The weather forecast says we'll have a heatwave next week. Is it really going to be that hot?,We are waiting on the cold front.,6,1,Have you checked the weather forecast for the upcoming event?,We are waiting on the cold front.,5,2,We are waiting on the cold front.,8,high,0.0,7,low,low,low,high,low,low,1.4,1.0
716,What's the name of my colleague who helped me with the marketing campaign?,John Keffer is the one I know best.,8,2,Which local historian's work have you found most insightful?,John Keffer is the one I know best.,5,2,John Keffer is the one I know best.,6,mid,0.0,8,low,medium,low,high,low,low,1.8,1.4
717,Did Ken agree to meet us at the conference?,Ken agreed yesterday.,6,3,Did Ken approve the marketing budget for next quarter?,Ken agreed yesterday.,8,2,Ken agreed yesterday.,9,high,10.0,3,medium,high,medium,low,high,medium,2.2,2.4
718,What's the latest rumour about Neil Armstrong?,Neil has been asking around.,6,2,Have you heard who won the Nobel Prize in Chemistry this year?,Neil has been asking around.,5,2,Neil has been asking around.,8,high,2.0,5,low,low,low,high,low,medium,1.8,1.0
719,Are we having the best day ever?,We are having fun.,8,1,Let's make some popcorn and watch a movie.,We are having fun.,10,2,We are having fun.,7,high,1.0,4,low,medium,medium,low,low,medium,1.8,1.6
720,Can you provide me with the latest IT infrastructure utilization report?,I have rates and capacity utilization information ready.,6,2,Have you checked the latest production figures for next month?,I have rates and capacity utilization information ready.,7,2,I have rates and capacity utilization information ready.,5,mid,12.0,8,low,high,high,low,low,low,1.8,2.2
721,I'm running late to the dinner party tonight,Got your back while you pick up wine.,7,2,"Hey, I'm out of red wine and I need to pick some up on the way home.",Got your back while you pick up wine.,9,1,Got your back while you pick up wine.,5,mid,0.0,8,low,medium,low,high,low,low,1.8,1.4
722,have you received the meeting minutes from GISB group?,GISB group has not met yet.,8,1,Have you all scheduled the GISB meeting for next week?,GISB group has not met yet.,5,1,GISB group has not met yet.,6,mid,-2.0,6,medium,low,low,high,low,medium,1.8,1.4
723,are you still using the Blackberry?,I'm big on the Blackberry.,6,2,Have you tried the new tech trend in town?,I'm big on the Blackberry.,5,2,I'm big on the Blackberry.,5,mid,2.0,5,low,high,medium,low,low,low,1.8,2.0
724,are you free to talk on sunday?,Tried to call but couldn't reach you.,6,1,I'll call you during lunch.,Tried to call but couldn't reach you.,7,2,Tried to call but couldn't reach you.,7,high,3.0,7,low,high,low,high,low,low,2.2,1.8
725,I'm having trouble understanding the project deadline.,Let me know if I can help.,7,2,I've found an error in the report,Let me know if I can help.,9,2,Let me know if I can help.,6,mid,3.0,7,low,medium,medium,low,low,low,1.4,1.6
726,Can you make it to our meeting today?,I had a last minute meeting come up.,6,2,Do you have time for dinner tonight?,I had a last minute meeting come up.,5,2,I had a last minute meeting come up.,6,mid,1.0,8,medium,high,medium,low,low,medium,2.2,2.4
727,Can I catch up with you tomorrow?,I will call when I can.,6,2,Can we discuss the details of the project you mentioned earlier?,I will call when I can.,8,2,I will call when I can.,5,mid,0.0,6,low,low,low,high,low,low,1.4,1.0
728,Are we going to the beach on Sunday?,We'll be back Sunday.,6,1,"Mom, when can we have family dinner again?",We'll be back Sunday.,10,2,We'll be back Sunday.,6,mid,2.0,4,medium,high,medium,high,low,low,2.2,2.4
729,Are you familiar with the concept of 'Banco de Reservas'?,That may be the same for BR.,6,3,Have you heard about the new tax laws for small businesses?,That may be the same for BR.,8,2,That may be the same for BR.,5,mid,3.0,7,low,low,low,high,low,low,1.4,1.0
730,can you help me find the nearest pharmacy?,Not a problem.,8,2,Can you bring the milk from the store on your way home?,Not a problem.,8,1,Not a problem.,7,high,1.0,3,medium,low,low,high,high,medium,1.8,1.4
731,"I've been stuck on this project for hours, how did you manage to finish yours so quickly?",I have been working those.,6,3,Have you finished the project report?,I have been working on those.,8,2,I have been working those.,6,mid,2.0,5,low,low,medium,high,low,low,1.4,1.2
732,Are you free to grab dinner tonight?,Call me tonight 7139736325.,8,2,"I've found an old number in my contacts, do you know who it belongs to?",Call me tonight 7139736325.,8,2,Call me tonight 7139736325.,0,low,0.0,4,low,high,low,high,low,low,2.2,1.8
733,Is Michael going to Quil tomorrow?,Maybe Michael will go to Quil tomorrow.,6,3,Do you think Quil's workshop might be held on Thursday instead of Wednesday?,Maybe Michael will go to Quil tomorrow.,6,1,Maybe Michael will go to Quil tomorrow.,2,low,3.0,7,low,high,medium,medium,low,medium,2.4,2.0
734,did you finish the project?,Sorry to keep you in suspense!,8,2,Have you found out who won the World Cup this year?,Sorry to keep you in suspense!,0,3,Sorry to keep you in suspense!,6,mid,2.0,6,low,low,low,low,low,low,1.0,1.0
735,I'm going to meet John at 10 am. Why isn't Stan's office open yet?,I need to go to Stan's office.,7,2,Have you found the report on project X?,I need to go to Stan's office.,5,2,I need to go to Stan's office.,5,mid,3.0,7,low,medium,low,high,low,medium,2.2,1.4
736,Are you coming to the picnic on Saturday?,We are a little light on disposable cups.,6,2,Can I get some coffee to go?,We are a little light on disposable cups.,5,2,We are a little light on disposable cups.,5,mid,4.0,8,low,low,low,high,low,low,1.4,1.0
737,I need to prepare for the CIO meeting at 1 pm. Can you confirm my schedule?,I will not make the CIO meeting at 1.,4,3,The CIO has scheduled a meeting for 1:30 pm today. Can you attend?,I will not make the CIO meeting at 1.,5,1,I will not make the CIO meeting at 1.,5,mid,4.0,9,low,medium,low,high,low,medium,2.2,1.4
738,Did we finally complete the AEP deal?,We sold the UK business to AEP.,8,2,I heard rumors of a major business deal. What's the latest?,We sold the UK business to AEP.,8,2,We sold the UK business to AEP.,3,low,0.0,7,low,high,low,high,medium,low,2.2,1.8
739,What are the key terms for our international trade agreement?,The master agreement references the trading business.,8,2,Have you reviewed the terms of the new business contract?,The master agreement references the trading business.,8,2,The master agreement references the trading business.,3,low,10.0,7,low,high,medium,high,low,medium,2.6,2.0
740,Have you finished preparing the presentation for Monday?,Are we ready for this on Monday?,8,2,We have an important project deadline coming up on Monday.,Are we ready for this on Monday?,9,2,Are we ready for this on Monday?,7,high,0.0,7,medium,high,medium,high,high,medium,2.6,2.4
741,i just won the lottery,That is not true.,6,3,You are only 25 years old.,That is not true.,7,3,That is not true.,5,mid,0.0,4,low,low,low,low,low,low,1.0,1.0
742,can you handle the Smith report?,I will handle this afternoon.,8,1,Can you take care of the marketing campaign this afternoon?,I will handle this afternoon.,10,2,I will handle this afternoon.,5,mid,5.0,5,low,low,low,high,high,low,1.4,1.0
743,You can't get more Tex-Mex than that!,Only in Texas.,8,3,Did you hear about the ranch that grew corn maze in the shape of Texas?,Only in Texas.,10,2,Only in Texas.,6,mid,1.0,3,medium,high,medium,high,low,medium,2.6,2.4
744,did you ever send me that file I requested?,I already deleted it.,8,2,Did you save my contact information?,I already deleted it.,5,2,I already deleted it.,6,mid,2.0,4,low,high,low,high,low,medium,2.6,1.8
745,Have you ever felt like giving up on your dreams?,"As you know, it isn't easy.",6,2,You've been promoted to a manager role.,"As you know, it isn't easy.",7,3,"As you know, it isn't easy.",3,low,1.0,6,low,medium,medium,high,low,low,1.8,1.6
746,You won the competition!,Congrats big time.,8,1,You've been accepted into your dream university!,Congrats big time.,10,2,Congrats big time.,5,mid,1.0,3,medium,low,low,high,high,high,2.2,1.4
747,can he make a call?,Yup he can do it by phone.,8,2,John mentioned he can program in Python. Can he fix my code issue remotely?,Yup he can do it by phone.,8,2,Yup he can do it by phone.,4,mid,3.0,7,low,high,medium,high,low,high,3.0,2.0
748,are you enjoying the party tonight?,This is fun!,8,2,Let's try to decode this ancient text!,This is fun!,8,2,This is fun!,6,mid,1.0,3,low,low,low,high,low,medium,1.8,1.0
749,Have you received the new employee handbook?,Please forward to Kevin Howard.,8,2,John mentioned you need to review the marketing strategy for the new product launch.,Please forward to Kevin Howard.,5,2,Please forward to Kevin Howard.,6,mid,2.0,5,medium,low,low,low,low,low,1.0,1.4
750,Will I see you tomorrow at the airport?,See you soon,8,1,I'll be arriving at the airport in an hour,See you soon.,10,2,"See you soon,",6,mid,1.0,3,low,medium,low,low,low,low,1.4,1.4
751,I'm worried the new policy might affect my job,Isn't that about the way it could happen?,6,2,The stock market seems unpredictable these days.,Isn't that about the way it could happen?,8,2,Isn't that about the way it could happen?,4,mid,3.0,8,low,low,low,low,low,low,1.0,1.0
752,I just watered your new succulent at home,Thanks for the plant.,8,1,I brought you a housewarming gift,Thanks for the plant.,8,1,Thanks for the plant.,5,mid,2.0,4,low,high,low,low,medium,low,1.8,1.8
753,are you two talking?,Are you two talking?,10,1,Do you see the painting by Monet at the museum?,Are you two talking?,7,3,Are you two talking?,6,mid,1.0,4,low,high,low,high,low,high,3.0,1.8
754,Are you available to meet on Monday?,"I'm fine with that, see you Monday.",8,1,I'd like to propose we meet at the usual place on Tuesday instead of Monday.,I'm fine with that. See you Monday.,8,2,I'm fine with that see you Monday.,5,mid,0.0,7,low,high,low,low,low,medium,2.2,1.8
755,where did you leave the car keys?,Go to 16.,8,3,"I've lost my way in this maze of streets, can you help?",Go to 16.,5,2,Go to 16.,7,high,1.0,3,medium,medium,low,high,low,low,1.8,1.8
756,where did we last meet?,Can you remember?,8,1,What did we order for dinner last Tuesday?,Can you remember?,8,2,Can you remember?,7,high,2.0,3,low,medium,medium,low,low,low,1.4,1.6
757,"You've been looking at that project proposal for hours, haven't you?",I compliment you?,5,2,Your new hairstyle looks amazing,I compliment you?,10,1,I compliment you?,8,high,2.0,3,low,low,low,high,low,low,1.4,1.0
758,can we meet up at 5pm today?,Are you available?,8,2,Can we discuss the details of the project meeting tomorrow?,Are you available?,10,2,Are you available?,9,high,1.0,3,medium,medium,medium,low,high,high,2.2,2.0
759,Can I get the new project details by Monday?,Let's wait until Monday.,8,2,Have you received the important email from HR?,Let's wait until Monday.,7,3,Let's wait until Monday.,7,high,4.0,4,low,low,low,high,low,medium,1.8,1.0
760,I've been craving something sweet all day,Are you on the diet with me?,8,1,I've decided to cut out sugar completely from my diet.,Are you on the diet with me?,8,2,Are you on the diet with me?,7,high,3.0,7,medium,medium,low,high,low,low,1.8,1.8
761,Can we charter a private jet for our upcoming vacation?,That would likely be an expensive option.,6,3,I heard about a new phone model with diamond encrusted buttons.,That would likely be an expensive option.,6,2,That would likely be an expensive option.,8,high,9.0,7,low,low,low,medium,high,high,2.0,1.0
762,Are we going to change the company's policy on flexible working hours?,We haven't made that decision here though.,5,2,Have you decided on the new marketing strategy?,We haven't made that decision here though.,6,2,We haven't made that decision here though.,4,mid,6.0,7,low,low,low,high,low,low,1.4,1.0
763,I just got accepted into my dream college!,Good for you.,6,2,You finally got promoted!,Good for you.,10,1,Good for you.,9,high,1.0,3,low,low,low,high,low,low,1.4,1.0
764,should I stay or should I go?,I decided that I am going to stay here!,8,2,"The weather is terrible, should we cancel our plans?",I decided that I am going to stay here!,7,2,I decided that I am going to stay here!,5,mid,0.0,9,medium,high,low,low,low,medium,2.2,2.2
765,I just got the latest report from John.,I have forwarded to Kelly.,6,2,Have you received the latest project proposal from HR?,I have forwarded to Kelly.,8,2,I have forwarded to Kelly.,7,high,3.0,5,low,medium,medium,high,low,low,1.8,1.6
